State,2009,2014,2019
Andaman and Nicobar Islands,11,15,15
Andhra Pradesh,569,598,319
Arunachal Pradesh,8,11,12
Assam,158,162,145
Bihar,672,607,626
Chandigarh,14,17,36
Chattisgarh,178,211,166
Dadra and Nagar Haveli,5,11,11
Daman and Diu,7,4,4
Delhi,160,19,12
Goa,18,334,371
Gujarat,329,230,223
Haryana,210,38,45
Himachal Pradesh,31,77,79
Jammu and Kashmir,81,240,229
Jharkhand,249,434,478
Karnataka,427,269,227
Kerala,217,6,6
Lakshadweep,4,378,438
Madhya Pradesh,119,897,867
Maharashtra ,819,18,19
Manipur,16,10,9
Meghalaya,11,3,6
Mizoram,4,3,4
Nagaland,3,150,164
Orissa,157,151,174
Puducherry,28,30,18
Punjab,218,253,278
Rajasthan,346,278,249
Sikkim,7,6,11
Tamil Nadu,823,845,850
Telangana,0,0,443
Tripura ,19,25,23
Uttar Pradesh,1368,1288,979
Uttarakhand,76,74,52
West Bengal,351,472,466
